ID,Tipo,REF,Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status da taxa,Classe de taxa,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vender individualmente?,Peso (g),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Nota da compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Metadado: _wc_min_qty_product,Metadado: _wc_max_qty_product,Limite de download,Dias para expirar o download,Produto ascendente,Produtos agrupados,Aumenta vendas,Venda cruzada,URL externa,Texto do botão,Posição,Swatches Attributes,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1,Nome do atributo 2,Valores do atributo 2,Visibilidade do atributo 2,Atributo global 2,Metadado: _et_pb_post_hide_nav,Metadado: _et_pb_page_layout,Metadado: _et_pb_side_nav,Metadado: _et_pb_use_builder,Metadado: _et_builder_version,Metadado: _et_pb_first_image,Metadado: _et_pb_truncate_post,Metadado: _et_pb_ab_stats_refresh_interval,Metadado: _aioseop_keywords,Metadado: _aioseop_description,Metadado: _aioseop_title,Metadado: _ywsbs_subscription,Metadado: _ywsbs_price_is_per,Metadado: _ywsbs_price_time_option,Metadado: _ywsbs_max_length,Metadado: _wcct_goaldeal_stock_3870_1556384700_1556402700,Valores do atributo 3,Visibilidade do atributo 3,Atributo global 3,Nome do atributo 4,Valores do atributo 4,Visibilidade do atributo 4,Atributo global 4,Atributo padrão 4,Nome do atributo 5,Valores do atributo 5,Visibilidade do atributo 5,Atributo global 5,Metadado: _wp_old_date,Pedido*,Dúzias para encomenda,Arquivo/Pasta Estampa (Link G.Drive),nome do produto_FSB,tipo de produto_FSB
,,1006C,,,,,,,,,,,,1,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1009.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE – PRETA LISTRAS FINAS VERMELHO/AZUL NOS PÉS,ATOALHADA
,simple,1006D,,-1,0,,,,,,taxable,,1,2,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1047.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SKATE - BRANCA LISTRAS FINAS LARANJA/BRANCO + CINZA CLARO/BRNCO PÉS, PUNHO BRANCO",ATOALHADA
,simple,1007,,-1,0,,,,,,taxable,,1,6,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1046.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,SKATE - LISTRAS FINAS PRETO/BRANCO PUNHO BRANCO LISTRAS AZUL/BRANCO PÉS,ATOALHADA
,simple,1007A,,'-1,0,,,,,,taxable,,1,2,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1030.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SKATE - LISTRAS FINAS CINZA CLARO, LISTRAS MEDIAS CINZA ESCURO/PRETO NOS PÉS",ATOALHADA
,,1007B,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS FINAS PRETA/CINZA MEDIA CINZA/PRETA NO PÉ 1 LISTRA VERMENHA FINA,ATOALHADA
,,1008,,,,,,,,,,,,7,,,,,,,,,,,,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1008.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE – BRANCA LISTRAS GROSSAS CINZA/BRANCO PUNHO CINZA ESCURO,ATOALHADA
,simple,1008A,,-1,0,,,,,,taxable,,1,7,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1027.1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - BRANCA LISTRA GROSSA CINZA/PUNHO PRETO,ATOALHADA
,simple,1008B,,'-1,0,,,,,,taxable,,1,8,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1048.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,SKATE - LISTRAS GROSSAS PRETO/LARANJA PUNHO VERMELHO,ATOALHADA
,simple,1008C,,'-1,0,,,,,,taxable,,1,11,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1050.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SKATE - LISTRAS VERDE MUSGO, VERDE LIMÃO, PUNHO CINZA",ATOALHADA
,simple,1009,,'-1,0,,,,,,taxable,,1,5,10,0,0,50,20,20,20,1,,,100,,,,https://crossfeet.com.br/wp-content/uploads/2019/08/1035.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKATE - LISTRAS GROSSAS AZUL/CINZA/PRETO,ATOALHADA
